router6,local_port,destination_host,management_ip,remote_port,software_version,capabilities,platform
,GigabitEthernet0/1,router2.gns3ansible.lab,10.2.6.2,GigabitEthernet0/3,"Cisco IOS Software, IOSv Software (VIOS-ADVENTERPRISEK9-M), Version 15.6(1)T, RELEASE SOFTWARE (fc1)",Router Source-Route-Bridge,Cisco 
,GigabitEthernet0/2,router1.gns3ansible.lab,10.1.6.1,GigabitEthernet0/2,"Cisco IOS Software, IOSv Software (VIOS-ADVENTERPRISEK9-M), Version 15.6(1)T, RELEASE SOFTWARE (fc1)",Router Source-Route-Bridge,Cisco 
,GigabitEthernet0/0,router4.gns3ansible.lab,10.4.6.4,GigabitEthernet0/3,"Cisco IOS Software, IOSv Software (VIOS-ADVENTERPRISEK9-M), Version 15.6(1)T, RELEASE SOFTWARE (fc1)",Router Source-Route-Bridge,Cisco 
