router3,local_port,destination_host,management_ip,remote_port,software_version,capabilities,platform
,GigabitEthernet0/1,router2.gns3ansible.lab,10.2.3.2,GigabitEthernet0/0,"Cisco IOS Software, IOSv Software (VIOS-ADVENTERPRISEK9-M), Version 15.6(1)T, RELEASE SOFTWARE (fc1)",Router Source-Route-Bridge,Cisco 
,GigabitEthernet0/0,router4.gns3ansible.lab,10.3.4.4,GigabitEthernet0/1,"Cisco IOS Software, IOSv Software (VIOS-ADVENTERPRISEK9-M), Version 15.6(1)T, RELEASE SOFTWARE (fc1)",Router Source-Route-Bridge,Cisco 
